invoice,branch,city,type,gender,category,cogs,sales,date,time,payment,review
729-09-9681,a,nueva york,member,male,home and lifestyle,"155,46","163,23",02/05/2019,10:16,ewallet,"8,70"
151-16-1484,a,nueva york,member,male,electronic accessories,"129,00","135,45",2/13/2019,12:38,ewallet,"6,50"
380-94-4661,c,houston,member,male,electronic accessories,"263,76","276,95",02/07/2019,13:05,credit card,"6,90"
850-41-9669,a,nueva york,normal,female,electronic accessories,"675,54","709,32",3/19/2019,13:25,ewallet,"6,20"
821-07-3596,c,houston,normal,female,fashion accessories,"65,80","69,09",03/07/2019,14:53,ewallet,"5,60"
655-85-5130,b,chicago,member,female,fashion accessories,"153,20","160,86",3/13/2019,19:22,cash,"5,70"
447-15-7839,a,nueva york,member,female,sports and travel,"222,40","233,52",02/09/2019,11:00,cash,"4,20"
154-74-7179,b,chicago,normal,male,sports and travel,"54,45","57,17",2/26/2019,19:24,ewallet,"7,90"
253-12-6086,a,nueva york,member,female,sports and travel,"688,80","723,24",03/12/2019,12:43,credit card,"8,70"
808-65-0703,c,houston,normal,male,home and lifestyle,"141,88","148,97",3/14/2019,17:22,credit card,"6,90"
571-94-0759,b,chicago,member,female,food and beverages,"746,00","783,30",01/08/2019,20:55,cash,"9,50"
144-51-6085,a,nueva york,member,male,home and lifestyle,"282,96","297,11",01/05/2019,16:05,credit card,"4,40"
731-14-2199,a,nueva york,member,female,home and lifestyle,"355,40","373,17",01/04/2019,13:34,ewallet,"7,00"
783-09-1637,b,chicago,normal,female,sports and travel,"337,15","354,01",03/06/2019,18:13,ewallet,"6,30"
687-15-1097,c,houston,member,female,health and beauty,"42,24","44,35",01/03/2019,19:17,cash,"9,70"
126-54-1082,a,nueva york,member,female,home and lifestyle,"193,86","203,55",01/07/2019,11:44,credit card,"8,80"
633-91-1052,a,nueva york,normal,female,home and lifestyle,"24,06","25,26",1/27/2019,15:51,cash,"5,10"
477-24-6490,b,chicago,normal,female,health and beauty,"598,26","628,17",2/26/2019,16:52,ewallet,"7,90"
566-19-5475,b,chicago,normal,male,fashion accessories,"335,79","352,58",01/07/2019,20:52,cash,"6,20"
526-86-8552,c,houston,member,female,home and lifestyle,"218,20","229,11",01/07/2019,17:36,cash,"7,10"
376-56-3573,c,houston,normal,female,fashion accessories,"381,68","400,76",02/02/2019,13:23,ewallet,"6,40"
537-72-0426,c,houston,member,male,fashion accessories,"709,90","745,40",3/20/2019,16:28,cash,"5,70"
828-61-5674,a,nueva york,member,male,sports and travel,"440,20","462,21",3/20/2019,19:57,credit card,"9,60"
136-08-6195,a,nueva york,normal,female,home and lifestyle,"559,68","587,66",2/15/2019,17:01,credit card,"6,40"
523-38-0215,c,houston,normal,male,home and lifestyle,"37,00","38,85",03/06/2019,13:29,credit card,"7,90"
490-29-1201,a,nueva york,normal,female,sports and travel,"15,34","16,11",01/06/2019,11:09,cash,"6,50"
667-92-0055,a,nueva york,member,male,health and beauty,"598,98","628,93",03/04/2019,15:02,ewallet,"8,50"
565-17-3836,a,nueva york,member,female,health and beauty,"190,68","200,21",03/12/2019,14:21,cash,"9,10"
498-41-1961,b,chicago,normal,male,health and beauty,"333,40","350,07",2/20/2019,18:01,cash,"7,60"
593-95-4461,c,houston,member,male,home and lifestyle,"74,86","78,60",3/24/2019,14:49,cash,"6,90"
226-71-3580,c,houston,normal,female,sports and travel,"213,75","224,44",1/31/2019,12:02,cash,"9,50"
283-79-9594,b,chicago,normal,female,food and beverages,"339,57","356,55",1/25/2019,13:30,credit card,"5,20"
430-60-3493,a,nueva york,member,female,home and lifestyle,"664,16","697,37",02/03/2019,14:38,cash,"4,20"
139-20-0155,b,chicago,member,male,electronic accessories,"403,00","423,15",1/24/2019,17:37,credit card,"7,00"
558-80-4082,c,houston,normal,male,electronic accessories,"194,95","204,70",3/14/2019,17:20,ewallet,"6,00"
278-97-7759,a,nueva york,member,female,electronic accessories,"62,48","65,60",2/18/2019,20:29,cash,"4,70"
316-68-6352,a,nueva york,member,female,food and beverages,"72,72","76,36",1/21/2019,10:00,cash,"7,10"
585-03-5943,b,chicago,normal,male,health and beauty,"181,10","190,16",3/13/2019,11:46,ewallet,"5,90"
211-05-0490,c,houston,member,female,electronic accessories,"259,60","272,58",03/03/2019,13:42,cash,"7,50"
727-75-6477,c,houston,normal,male,electronic accessories,"115,36","121,13",3/29/2019,14:44,cash,"6,40"
744-02-5987,a,nueva york,member,male,home and lifestyle,"470,28","493,79",01/10/2019,14:16,ewallet,"5,80"
307-83-9164,a,nueva york,member,male,home and lifestyle,"240,04","252,04",1/25/2019,15:54,cash,"4,50"
779-06-0012,c,houston,member,female,home and lifestyle,"88,61","93,04",1/19/2019,10:21,cash,"7,70"
446-47-6729,c,houston,normal,male,fashion accessories,"199,64","209,62",01/02/2019,18:09,credit card,"6,70"
573-10-3877,b,chicago,member,male,health and beauty,"39,01","40,96",03/12/2019,16:46,credit card,"4,70"
735-06-4124,c,houston,normal,male,food and beverages,"48,61","51,04",2/25/2019,15:31,cash,"4,40"
439-54-7422,a,nueva york,normal,female,electronic accessories,"204,76","215,00",3/18/2019,17:15,credit card,"4,70"
396-90-2219,b,chicago,normal,female,electronic accessories,"119,68","125,66",2/23/2019,12:29,cash,"8,60"
411-77-0180,a,nueva york,member,male,electronic accessories,"505,40","530,67",3/26/2019,20:14,ewallet,"4,30"
286-01-5402,a,nueva york,normal,female,sports and travel,"281,61","295,69",3/30/2019,13:22,cash,"9,60"
803-17-8013,a,nueva york,member,female,home and lifestyle,"710,32","745,84",2/17/2019,17:09,cash,"4,10"
512-98-1403,a,nueva york,member,female,electronic accessories,"79,44","83,41",3/21/2019,10:40,ewallet,"4,70"
848-42-2560,a,nueva york,normal,female,fashion accessories,"163,82","172,01",03/05/2019,17:43,cash,"7,80"
532-59-7201,b,chicago,member,male,sports and travel,"479,58","503,56",1/31/2019,14:04,cash,"5,50"
181-94-6432,c,houston,member,male,fashion accessories,"138,66","145,59",02/05/2019,19:05,ewallet,"9,70"
870-76-1733,a,nueva york,member,female,food and beverages,"71,15","74,71",02/01/2019,10:08,credit card,"4,40"
423-64-4619,a,nueva york,member,female,health and beauty,"139,95","146,95",03/07/2019,13:12,cash,"5,00"
227-07-4446,c,houston,member,female,electronic accessories,"781,30","820,37",02/10/2019,20:51,cash,"4,40"
174-36-3675,c,houston,member,male,food and beverages,"198,74","208,68",2/14/2019,17:29,cash,"5,20"
428-83-5800,c,houston,member,female,food and beverages,"63,24","66,40",02/09/2019,10:25,cash,"7,30"
603-07-0961,c,houston,member,male,electronic accessories,"373,95","392,65",01/10/2019,11:34,cash,"4,90"
704-20-4138,c,houston,member,female,health and beauty,"207,69","218,07",03/11/2019,18:58,credit card,"8,10"
787-15-1757,c,houston,member,male,health and beauty,"176,28","185,09",2/18/2019,16:28,ewallet,"8,40"
649-11-3678,c,houston,normal,female,food and beverages,"206,37","216,69",2/26/2019,20:26,cash,"5,50"
622-20-1945,c,houston,normal,female,health and beauty,"39,42","41,39",1/18/2019,15:08,cash,"8,40"
372-94-8041,a,nueva york,normal,male,health and beauty,"91,56","96,14",2/15/2019,18:03,ewallet,"9,80"
563-91-7120,a,nueva york,normal,female,fashion accessories,"308,85","324,29",03/08/2019,13:21,cash,"6,70"
746-54-5508,a,nueva york,normal,male,home and lifestyle,"129,12","135,58",1/17/2019,12:48,credit card,"9,40"
276-54-0879,b,chicago,normal,male,sports and travel,"390,96","410,51",03/12/2019,19:53,ewallet,"6,40"
815-11-1168,a,nueva york,member,male,food and beverages,"498,90","523,85",03/09/2019,19:09,cash,"5,40"
719-76-3868,c,houston,member,male,food and beverages,"377,04","395,89",03/12/2019,16:30,cash,"8,60"
730-61-8757,b,chicago,member,male,health and beauty,"204,52","214,75",1/25/2019,10:11,credit card,"4,00"
340-66-0321,a,nueva york,member,male,electronic accessories,"145,44","152,71",3/25/2019,13:07,cash,"7,60"
868-81-1752,b,chicago,normal,male,home and lifestyle,"198,18","208,09",02/07/2019,18:48,cash,"6,80"
634-97-8956,a,nueva york,normal,male,food and beverages,"98,70","103,64",2/17/2019,17:27,credit card,"9,10"
566-71-1091,a,nueva york,normal,male,fashion accessories,"385,10","404,36",02/03/2019,15:59,cash,"5,50"
442-48-3607,a,nueva york,member,male,food and beverages,"46,96","49,31",3/14/2019,11:21,credit card,"7,90"
835-16-0096,c,houston,member,male,sports and travel,"73,50","77,18",3/24/2019,13:48,ewallet,"8,50"
527-09-6272,a,nueva york,member,female,electronic accessories,"142,25","149,36",3/21/2019,10:17,credit card,"9,10"
898-04-2717,a,nueva york,normal,male,fashion accessories,"687,60","721,98",3/19/2019,15:49,ewallet,"7,50"
692-27-8933,b,chicago,normal,female,sports and travel,"347,70","365,09",2/24/2019,13:02,cash,"5,20"
633-09-3463,c,houston,normal,female,electronic accessories,"142,95","150,10",3/28/2019,12:58,credit card,"9,50"
374-17-3652,b,chicago,member,female,food and beverages,"385,38","404,65",02/05/2019,15:26,credit card,"8,90"
378-07-7001,b,chicago,member,male,electronic accessories,"144,27","151,48",02/10/2019,18:23,credit card,"7,80"
433-75-6987,b,chicago,member,female,health and beauty,"391,79","411,38",03/05/2019,19:06,ewallet,"8,90"
873-95-4984,b,chicago,member,female,health and beauty,"538,30","565,22",2/15/2019,20:21,cash,"7,70"
416-13-5917,c,houston,normal,female,food and beverages,"485,15","509,41",1/30/2019,16:24,ewallet,"9,30"
150-89-8043,a,nueva york,normal,male,sports and travel,"133,95","140,65",2/14/2019,15:04,cash,"6,20"
135-84-8019,a,nueva york,normal,female,fashion accessories,"701,37","736,44",2/27/2019,16:10,ewallet,"7,60"
441-94-7118,a,nueva york,member,male,electronic accessories,"71,95","75,55",02/04/2019,12:14,cash,"7,30"
725-96-3778,c,houston,member,female,home and lifestyle,"714,00","749,70",1/20/2019,10:13,cash,"4,70"
531-80-1784,a,nueva york,normal,male,electronic accessories,"182,14","191,25",3/28/2019,17:38,cash,"5,10"
400-45-1220,b,chicago,normal,female,health and beauty,"135,00","141,75",2/27/2019,11:06,credit card,"4,80"
860-79-0874,c,houston,member,female,fashion accessories,"993,00","1.042,65",2/15/2019,14:53,credit card,"6,60"
834-61-8124,a,nueva york,normal,male,electronic accessories,"361,83","379,92",1/26/2019,18:22,cash,"5,50"
115-99-4379,b,chicago,member,female,fashion accessories,"383,11","402,27",3/14/2019,19:02,credit card,"8,50"
565-67-6697,b,chicago,member,male,home and lifestyle,"243,00","255,15",03/02/2019,14:16,cash,"4,80"
320-49-6392,c,houston,normal,female,electronic accessories,"30,24","31,75",03/04/2019,15:44,cash,"8,40"
889-04-9723,b,chicago,member,female,food and beverages,"356,56","374,39",01/07/2019,12:20,credit card,"7,80"
632-90-0281,c,houston,normal,female,fashion accessories,"375,50","394,28",03/08/2019,20:01,credit card,"9,30"
554-42-2417,c,houston,normal,female,sports and travel,"954,40","1.002,12",01/09/2019,13:45,cash,"5,20"
453-63-6187,b,chicago,normal,male,electronic accessories,"82,50","86,63",03/01/2019,15:40,ewallet,"6,50"
578-80-7669,b,chicago,normal,male,sports and travel,"74,97","78,72",3/16/2019,16:58,cash,"5,60"
612-36-5536,a,nueva york,member,male,food and beverages,"647,68","680,06",2/17/2019,11:12,credit card,"7,40"
605-72-4132,c,houston,normal,female,food and beverages,"755,76","793,55",2/27/2019,15:12,cash,"9,10"
471-41-2823,c,houston,normal,male,food and beverages,"199,58","209,56",03/07/2019,20:37,ewallet,"8,00"
462-67-9126,a,nueva york,normal,male,home and lifestyle,"439,32","461,29",1/21/2019,17:44,cash,"7,20"
272-27-9238,c,houston,normal,female,food and beverages,"164,96","173,21",2/19/2019,16:23,cash,"7,10"
834-25-9262,c,houston,normal,female,fashion accessories,"326,72","343,06",01/06/2019,12:12,cash,"9,10"
122-61-9553,c,houston,normal,female,electronic accessories,"461,88","484,97",3/14/2019,19:33,cash,"5,60"
468-88-0009,a,nueva york,member,male,home and lifestyle,"263,76","276,95",3/24/2019,10:29,cash,"6,00"
613-59-9758,c,houston,normal,female,sports and travel,"143,60","150,78",1/27/2019,14:28,cash,"5,40"
254-31-0042,a,nueva york,member,male,electronic accessories,"193,50","203,18",03/06/2019,12:46,credit card,"7,80"
201-86-2184,b,chicago,member,female,electronic accessories,"183,82","193,01",02/02/2019,19:40,cash,"9,90"
261-12-8671,b,chicago,normal,female,fashion accessories,"121,92","128,02",1/25/2019,19:39,credit card,"4,90"
730-70-9830,c,houston,normal,female,home and lifestyle,"420,66","441,69",3/14/2019,17:54,ewallet,"5,20"
382-25-8917,c,houston,normal,male,fashion accessories,"252,48","265,10",1/29/2019,12:25,cash,"8,90"
422-29-8786,a,nueva york,normal,female,home and lifestyle,"335,45","352,22",01/03/2019,16:47,credit card,"9,10"
667-23-5919,a,nueva york,member,female,fashion accessories,"483,50","507,68",1/14/2019,12:52,ewallet,"7,00"
843-01-4703,b,chicago,member,female,home and lifestyle,"318,42","334,34",01/05/2019,19:50,credit card,"9,60"
743-88-1662,c,houston,normal,male,sports and travel,"668,43","701,85",2/22/2019,18:17,ewallet,"8,70"
595-86-2894,c,houston,member,male,fashion accessories,"387,92","407,32",02/06/2019,17:20,ewallet,"9,40"
182-69-8360,b,chicago,normal,female,electronic accessories,"94,60","99,33",1/30/2019,13:32,credit card,"4,00"
289-15-7034,a,nueva york,member,male,sports and travel,"329,32","345,79",01/11/2019,10:37,credit card,"7,50"
462-78-5240,c,houston,normal,female,electronic accessories,"53,22","55,88",3/19/2019,14:35,cash,"4,20"
868-52-7573,b,chicago,normal,female,food and beverages,"498,45","523,37",1/14/2019,12:09,cash,"9,90"
153-58-4872,c,houston,member,female,food and beverages,"299,56","314,54",03/01/2019,15:32,ewallet,"4,20"
662-72-2873,a,nueva york,normal,female,food and beverages,"204,70","214,94",01/06/2019,13:58,ewallet,"9,90"
525-88-7307,b,chicago,member,male,sports and travel,"75,82","79,61",1/31/2019,13:19,cash,"5,80"
689-16-9784,c,houston,normal,male,food and beverages,"280,62","294,65",03/11/2019,13:37,cash,"6,00"
725-56-0833,a,nueva york,normal,female,health and beauty,"323,20","339,36",2/20/2019,16:49,credit card,"10,00"
394-41-0748,c,houston,member,female,fashion accessories,"486,63","510,96",1/27/2019,14:55,ewallet,"9,50"
596-42-3999,b,chicago,normal,male,food and beverages,"127,54","133,92",03/10/2019,14:04,credit card,"6,60"
541-89-9860,c,houston,member,female,fashion accessories,"241,44","253,51",2/15/2019,12:31,cash,"8,10"
173-82-9529,b,chicago,normal,female,fashion accessories,"379,50","398,48",1/26/2019,14:51,cash,"9,70"
563-36-9814,a,nueva york,member,male,electronic accessories,"76,82","80,66",2/13/2019,18:27,ewallet,"7,20"
308-47-4913,a,nueva york,member,female,sports and travel,"522,60","548,73",03/09/2019,12:45,credit card,"6,20"
885-17-6250,a,nueva york,normal,female,health and beauty,"79,74","83,73",03/06/2019,10:36,ewallet,"7,30"
726-27-2396,a,nueva york,normal,female,health and beauty,"387,50","406,88",1/24/2019,20:36,ewallet,"4,30"
316-01-3952,a,nueva york,normal,female,food and beverages,"271,35","284,92",3/13/2019,14:16,ewallet,"4,60"
760-54-1821,b,chicago,normal,male,home and lifestyle,"122,31","128,43",3/15/2019,10:26,cash,"5,80"
793-10-3222,b,chicago,member,female,health and beauty,"246,36","258,68",03/05/2019,13:30,credit card,"8,30"
346-12-3257,b,chicago,member,male,electronic accessories,"173,16","181,82",03/04/2019,16:28,cash,"8,00"
110-05-6330,c,houston,normal,female,food and beverages,"236,58","248,41",3/25/2019,20:18,credit card,"9,40"
651-61-0874,c,houston,normal,male,home and lifestyle,"184,88","194,12",03/12/2019,20:04,credit card,"6,20"
236-86-3015,c,houston,member,male,home and lifestyle,"13,98","14,68",02/04/2019,13:38,ewallet,"9,80"
831-64-0259,b,chicago,normal,female,fashion accessories,"198,75","208,69",2/22/2019,10:43,ewallet,"9,60"
587-03-7455,c,houston,member,female,fashion accessories,"684,53","718,76",2/16/2019,17:30,ewallet,"4,90"
882-40-4577,a,nueva york,member,male,sports and travel,"269,04","282,49",1/19/2019,15:28,credit card,"8,00"
732-67-5346,a,nueva york,normal,male,food and beverages,"68,95","72,40",01/11/2019,19:07,credit card,"7,80"
725-32-9708,b,chicago,member,female,fashion accessories,"274,84","288,58",01/04/2019,19:01,cash,"4,10"
256-08-8343,a,nueva york,normal,female,home and lifestyle,"226,12","237,43",03/04/2019,19:48,ewallet,"5,50"
372-26-1506,c,houston,normal,female,fashion accessories,"119,10","125,06",1/28/2019,19:24,ewallet,"5,40"
244-08-0162,b,chicago,normal,female,health and beauty,"342,10","359,21",01/02/2019,13:00,cash,"5,10"
569-71-4390,b,chicago,normal,male,sports and travel,"43,74","45,93",1/25/2019,14:29,ewallet,"6,90"
132-23-6451,a,nueva york,member,male,health and beauty,"104,85","110,09",01/04/2019,13:21,cash,"7,80"
696-90-2548,a,nueva york,normal,male,sports and travel,"77,52","81,40",03/10/2019,18:55,ewallet,"6,60"
472-15-9636,a,nueva york,normal,male,home and lifestyle,"407,44","427,81",3/22/2019,19:36,ewallet,"9,20"
268-03-6164,b,chicago,normal,male,health and beauty,"96,11","100,92",1/25/2019,16:28,ewallet,"7,80"
750-57-9686,c,houston,normal,female,home and lifestyle,"181,52","190,60",01/08/2019,13:48,credit card,"8,70"
186-09-3669,c,houston,member,female,health and beauty,"81,51","85,59",1/22/2019,10:57,ewallet,"9,20"
848-07-1692,b,chicago,normal,female,health and beauty,"114,44","120,16",01/12/2019,17:13,ewallet,"8,30"
745-71-3520,a,nueva york,member,female,electronic accessories,"176,54","185,37",02/04/2019,10:23,cash,"8,20"
266-76-6436,c,houston,member,female,food and beverages,"115,80","121,59",3/28/2019,13:57,ewallet,"7,50"
740-22-2500,c,houston,normal,female,electronic accessories,"252,15","264,76",1/23/2019,13:29,cash,"9,80"
271-88-8734,c,houston,member,female,fashion accessories,"972,10","1.020,71",02/08/2019,13:00,credit card,"8,70"
301-81-8610,b,chicago,member,male,fashion accessories,"203,36","213,53",3/19/2019,19:42,credit card,"6,70"
489-64-4354,c,houston,normal,male,fashion accessories,"16,28","17,09",03/09/2019,15:36,cash,"5,00"
198-84-7132,b,chicago,member,male,fashion accessories,"365,49","383,76",01/02/2019,13:40,cash,"7,00"
269-10-8440,a,nueva york,member,male,health and beauty,"372,19","390,80",1/21/2019,18:01,cash,"8,90"
650-98-6268,b,chicago,member,female,food and beverages,"62,61","65,74",3/20/2019,13:53,credit card,"8,00"
741-73-3559,b,chicago,normal,male,sports and travel,"336,35","353,17",2/27/2019,17:27,cash,"6,90"
325-77-6186,a,nueva york,member,female,home and lifestyle,"906,50","951,83",03/08/2019,10:53,ewallet,"7,30"
286-75-7818,b,chicago,normal,male,fashion accessories,"138,16","145,07",1/31/2019,19:48,credit card,"6,90"
574-57-9721,c,houston,normal,male,food and beverages,"86,54","90,87",03/08/2019,16:53,ewallet,"5,70"
459-50-7686,a,nueva york,normal,female,electronic accessories,"140,76","147,80",1/13/2019,19:14,ewallet,"6,40"
616-87-0016,b,chicago,normal,male,fashion accessories,"668,78","702,22",03/09/2019,14:36,credit card,"9,60"
837-55-7229,b,chicago,normal,female,fashion accessories,"47,44","49,81",2/22/2019,18:19,credit card,"6,80"
751-69-0068,c,houston,normal,male,sports and travel,"893,16","937,82",3/19/2019,19:09,ewallet,"9,00"
257-73-1380,c,houston,member,male,sports and travel,"331,72","348,31",1/20/2019,16:51,ewallet,"9,60"
345-08-4992,a,nueva york,normal,male,home and lifestyle,"203,94","214,14",03/08/2019,15:37,credit card,"7,70"
549-96-4200,c,houston,member,male,food and beverages,"68,16","71,57",03/08/2019,20:15,ewallet,"7,00"
810-60-6344,c,houston,normal,female,electronic accessories,"326,88","343,22",02/07/2019,14:38,credit card,"6,50"
450-28-2866,c,houston,member,male,food and beverages,"87,20","91,56",1/15/2019,19:25,cash,"8,10"
394-30-3170,b,chicago,member,female,sports and travel,"707,44","742,81",3/22/2019,19:35,credit card,"4,30"
138-17-5109,a,nueva york,member,female,home and lifestyle,"802,89","843,03",1/15/2019,15:42,credit card,"6,50"
192-98-7397,c,houston,normal,male,fashion accessories,"12,78","13,42",01/08/2019,14:11,ewallet,"9,50"
301-11-9629,a,nueva york,normal,female,sports and travel,"133,70","140,39",1/15/2019,10:43,cash,"9,70"
390-80-5128,b,chicago,member,female,health and beauty,"19,15","20,11",1/28/2019,17:58,credit card,"9,50"
235-46-8343,c,houston,member,male,food and beverages,"276,60","290,43",2/14/2019,11:26,credit card,"8,90"
453-12-7053,c,houston,normal,male,fashion accessories,"137,22","144,08",03/10/2019,17:38,credit card,"6,50"
296-11-7041,b,chicago,member,female,health and beauty,"27,07","28,42",01/12/2019,20:07,credit card,"5,30"
449-27-2918,b,chicago,member,female,sports and travel,"39,12","41,08",3/26/2019,11:02,credit card,"9,60"
891-01-7034,b,chicago,normal,female,electronic accessories,"448,26","470,67",01/01/2019,19:07,cash,"6,70"
744-09-5786,b,chicago,normal,male,electronic accessories,"132,06","138,66",01/02/2019,18:50,cash,"7,60"
727-17-0390,a,nueva york,normal,female,food and beverages,"318,05","333,95",3/16/2019,12:43,ewallet,"4,80"
568-88-3448,a,nueva york,normal,male,health and beauty,"25,00","26,25",03/03/2019,15:09,ewallet,"5,50"
187-83-5490,a,nueva york,member,male,electronic accessories,"83,08","87,23",1/31/2019,13:47,cash,"4,70"
767-54-1907,b,chicago,member,female,fashion accessories,"147,80","155,19",2/13/2019,16:59,cash,"6,90"
710-46-4433,b,chicago,member,female,food and beverages,"696,60","731,43",2/15/2019,14:15,credit card,"4,50"
533-33-5337,b,chicago,normal,male,electronic accessories,"793,90","833,60",02/07/2019,20:24,cash,"6,20"
325-90-8763,c,houston,member,female,electronic accessories,"465,70","488,99",1/27/2019,13:58,cash,"7,60"
729-46-7422,c,houston,normal,male,food and beverages,"35,89","37,68",2/23/2019,16:52,credit card,"7,90"
639-76-1242,c,houston,normal,male,food and beverages,"202,60","212,73",02/03/2019,15:19,cash,"4,50"
234-03-4040,b,chicago,member,female,food and beverages,"730,50","767,03",03/03/2019,12:25,credit card,"8,70"
326-71-2155,c,houston,normal,female,sports and travel,"295,80","310,59",02/03/2019,10:02,cash,"6,10"
320-32-8842,c,houston,member,female,food and beverages,"22,62","23,75",3/17/2019,18:58,cash,"6,40"
470-32-9057,a,nueva york,member,male,food and beverages,"256,70","269,54",3/28/2019,15:31,credit card,"9,10"
878-30-2331,c,houston,member,female,sports and travel,"545,50","572,78",03/02/2019,11:22,credit card,"7,10"
440-59-5691,c,houston,member,female,health and beauty,"260,05","273,05",02/08/2019,13:12,credit card,"7,70"
554-53-3790,b,chicago,normal,male,sports and travel,"222,12","233,23",3/22/2019,18:33,cash,"4,50"
746-19-0921,c,houston,normal,male,food and beverages,"21,58","22,66",02/09/2019,10:02,ewallet,"7,20"
233-34-0817,c,houston,member,female,electronic accessories,"98,84","103,78",2/15/2019,11:21,cash,"8,40"
767-05-1286,c,houston,member,female,home and lifestyle,"502,62","527,75",1/23/2019,12:10,ewallet,"5,40"
340-21-9136,a,nueva york,member,female,sports and travel,"160,20","168,21",1/25/2019,11:40,cash,"9,70"
405-31-3305,a,nueva york,member,male,fashion accessories,"431,30","452,87",02/02/2019,18:31,credit card,"5,50"
731-59-7531,b,chicago,member,male,health and beauty,"580,56","609,59",3/30/2019,17:58,cash,"4,60"
676-39-6028,a,nueva york,member,female,electronic accessories,"322,20","338,31",3/30/2019,17:04,cash,"6,60"
502-05-1910,a,nueva york,normal,male,health and beauty,"195,54","205,32",2/25/2019,20:35,credit card,"6,30"
485-30-8700,a,nueva york,normal,female,sports and travel,"166,30","174,62",3/18/2019,16:10,credit card,"4,20"
598-47-9715,c,houston,normal,male,electronic accessories,"336,28","353,09",03/07/2019,16:54,ewallet,"4,40"
701-69-8742,b,chicago,normal,male,sports and travel,"343,70","360,89",3/16/2019,10:11,ewallet,"6,70"
575-67-1508,a,nueva york,normal,male,electronic accessories,"38,60","40,53",1/29/2019,11:26,ewallet,"6,70"
541-08-3113,c,houston,normal,male,food and beverages,"527,76","554,15",02/02/2019,20:29,cash,"8,40"
246-11-3901,c,houston,normal,female,electronic accessories,"328,00","344,40",2/15/2019,12:12,cash,"6,20"
674-15-9296,a,nueva york,normal,male,sports and travel,"185,70","194,99",01/08/2019,13:05,ewallet,"5,00"
305-18-3552,b,chicago,member,male,home and lifestyle,"603,80","633,99",02/12/2019,16:19,cash,"6,00"
493-65-6248,c,houston,member,female,sports and travel,"369,80","388,29",01/01/2019,19:48,credit card,"7,00"
438-01-4015,b,chicago,member,female,sports and travel,"197,96","207,86",3/21/2019,15:25,ewallet,"6,60"
709-58-4068,b,chicago,normal,female,fashion accessories,"410,90","431,45",2/28/2019,14:42,cash,"7,30"
795-49-7276,a,nueva york,normal,male,fashion accessories,"148,60","156,03",3/23/2019,18:59,ewallet,"8,30"
556-72-8512,c,houston,normal,male,home and lifestyle,"22,96","24,11",1/30/2019,20:47,cash,"4,30"
627-95-3243,b,chicago,member,female,home and lifestyle,"699,12","734,08",02/04/2019,13:21,ewallet,"9,80"
686-41-0932,b,chicago,normal,female,fashion accessories,"69,40","72,87",3/13/2019,19:48,ewallet,"8,20"
510-09-5628,a,nueva york,member,female,fashion accessories,"196,60","206,43",3/15/2019,18:20,credit card,"7,20"
608-04-3797,b,chicago,member,female,health and beauty,"202,56","212,69",03/05/2019,20:24,ewallet,"8,70"
148-82-2527,c,houston,member,female,home and lifestyle,"121,20","127,26",03/05/2019,13:44,credit card,"8,40"
437-53-3084,b,chicago,normal,male,fashion accessories,"199,78","209,77",2/26/2019,11:48,ewallet,"7,10"
632-32-4574,b,chicago,normal,male,sports and travel,"607,36","637,73",3/20/2019,14:14,cash,"5,50"
556-97-7101,c,houston,normal,female,electronic accessories,"126,44","132,76",01/01/2019,15:51,cash,"8,50"
862-59-8517,c,houston,normal,female,food and beverages,"541,44","568,51",1/27/2019,11:17,cash,"6,20"
401-18-8016,b,chicago,member,female,sports and travel,"98,13","103,04",1/21/2019,17:36,cash,"8,90"
420-18-8989,a,nueva york,member,female,sports and travel,"412,16","432,77",02/02/2019,15:47,cash,"9,60"
277-63-2961,b,chicago,member,male,sports and travel,"73,97","77,67",02/03/2019,15:53,credit card,"5,40"
573-98-8548,c,houston,member,female,fashion accessories,"31,90","33,50",01/05/2019,12:40,ewallet,"9,10"
620-02-2046,c,houston,normal,male,home and lifestyle,"138,80","145,74",1/27/2019,19:48,ewallet,"9,00"
282-35-2475,b,chicago,normal,female,sports and travel,"186,62","195,95",3/25/2019,17:53,cash,"6,30"
511-54-3087,b,chicago,normal,male,sports and travel,"88,45","92,87",2/25/2019,16:36,credit card,"9,50"
726-29-6793,a,nueva york,member,male,electronic accessories,"193,44","203,11",1/28/2019,20:54,ewallet,"9,80"
387-49-4215,b,chicago,member,female,sports and travel,"145,50","152,78",01/08/2019,12:50,cash,"6,70"
862-17-9201,b,chicago,normal,female,food and beverages,"504,30","529,52",1/29/2019,10:48,credit card,"7,70"
291-21-5991,b,chicago,member,male,health and beauty,"306,45","321,77",3/29/2019,14:28,cash,"7,00"
602-80-9671,c,houston,member,female,home and lifestyle,"95,70","100,49",02/09/2019,17:15,credit card,"5,10"
347-72-6115,b,chicago,member,female,sports and travel,"635,18","666,94",1/16/2019,18:03,credit card,"6,20"
209-61-0206,a,nueva york,normal,female,home and lifestyle,"214,55","225,28",01/05/2019,17:29,ewallet,"6,10"
595-27-4851,a,nueva york,normal,female,fashion accessories,"379,96","398,96",1/27/2019,18:05,ewallet,"9,30"
189-52-0236,a,nueva york,normal,male,electronic accessories,"696,85","731,69",3/14/2019,12:07,cash,"7,60"
503-07-0930,c,houston,member,male,sports and travel,"408,73","429,17",2/23/2019,19:49,credit card,"8,20"
